"","GSM2899558","GSM2899559","GSM2899560","GSM2899561","GSM2899562","GSM2899563","GSM2899564","GSM2899565","GSM2899566","GSM2899567","GSM2899568","GSM2899569","GSM2899570","GSM2899571","GSM2899572","GSM2899573","GSM2899574","GSM2899575","GSM2899576","GSM2899577","GSM2899578","GSM2899579","GSM2899580","GSM2899581","GSM2899582","GSM2899583","GSM2899584","GSM2899585","GSM2899586","GSM2899587","GSM2899588","GSM2899589","GSM2899590","GSM2899591","GSM2899592","GSM2899593","GSM2899594","GSM2899595","GSM2899596","GSM2899597","GSM2899598","GSM2899599","GSM2899600","GSM2899601","GSM2899602","GSM2899603","GSM2899604","GSM2899605","GSM2899606","GSM2899607","GSM2899608","GSM2899609","GSM2899610","GSM2899611","GSM2899612","GSM2899613","GSM2899614","GSM2899615","GSM2899616","GSM2899617","GSM2899618","GSM2899619","GSM2899620","GSM2899621","GSM2899622","GSM2899623","GSM2899624","GSM2899625","GSM2899626","GSM2899627","GSM2899628","GSM2899629","GSM2899630","GSM2899631","GSM2899632","GSM2899633","GSM2899634","GSM2899635","GSM2899636","GSM2899637","GSM2899638","GSM2899639","GSM2899640","GSM2899641","GSM2899642","GSM2899643","GSM2899644","GSM2899645","GSM2899646","GSM2899647","GSM2899648","GSM2899649","GSM2899650","GSM2899651","GSM2899652"
"215531_s_at",5.85407453984991,7.10054779164553,6.83246111331901,5.93086776620218,7.87753089623391,7.82242493583563,7.26954551735401,7.79130389100919,8.08579561921697,7.94564560328304,8.65207042401686,8.66804231368833,8.45903796688803,8.74396909373213,6.97143853914866,8.21069752356502,7.42787902365054,8.35469520349111,7.50862419903586,8.37202335204451,6.67013187649161,8.30837335993508,8.3890613136341,8.10561579876202,8.38816825087959,8.56734639192679,8.07433717375434,7.21456499377797,4.85726546958803,4.76006690224265,4.75867138753731,5.07105060692984,4.93520279412135,5.16747504146659,6.95051072832916,4.89942813884134,5.48561099369305,4.74774960237083,5.8113747180349,5.17975927993458,5.24871953045758,6.51190582548564,5.08794420129242,4.77953047657719,4.92398979846616,5.14828842946328,5.14903863458392,5.23138564326766,5.22146569532929,7.24819202646,4.99712550458646,4.84951295644711,4.97651810189061,5.31058336290149,6.24450611072924,4.95262982236352,4.88037414448651,5.01906636830869,4.89667018801939,6.11917413203903,5.12347443077017,4.90349607948164,4.73119783461252,4.92584444648525,4.67820579950386,4.92015303736355,4.82992878775592,5.0532386143422,5.06947788013693,5.18132978778034,6.38581577671571,5.03829300940188,4.90460049922901,4.82220622991106,5.02888362328367,6.96004036139763,4.95195414258607,4.78052596970295,5.04281611684315,4.77061028930391,5.00306034112665,4.73076728208041,5.29000106227569,4.92561797350049,5.058855345634,5.06614110233652,6.13496935018243,4.61869090534978,5.2193355183955,4.87618909755304,5.25125591578163,7.4945286403301,4.88041276071168,5.02447290736629,5.02363177878743
"210408_s_at",9.59108966363265,9.87987511943941,9.04090258711365,9.00657717896761,9.77283101392704,10.1586439973588,9.78468166035097,10.0486161245824,9.84443676518535,10.0236002818008,10.4205372897852,10.0485701826846,10.2767238922627,10.6454391588871,9.4129525700379,9.41757612073357,10.1534510605496,10.1322066385208,9.44676686049867,10.215552796369,9.43634452504183,9.33239996558217,9.71423887186148,9.52403904181539,9.79567987341607,9.81566871808791,9.93119506256347,8.74195473622285,7.00820901651537,6.8418730748968,7.13986690586642,7.23830624424251,7.01138088498034,8.02056124643177,8.17454277263847,7.38196782843272,7.05011801078232,6.82105314103907,7.6423097344188,7.57132770301433,7.52599469407518,8.43799621018913,7.42702922055588,7.97341252050985,8.41750195519231,7.18045350288018,6.92727919580952,7.65295513004793,7.4948546304788,8.97902081059072,7.23940547431382,6.87981645311073,7.3035487341441,6.53728240621306,8.14837630842034,6.59281118636651,6.8832695869404,6.69098681449367,6.94227837271803,8.07022300611193,7.13595656064593,8.48165353142183,6.94569078151817,7.16379871893261,6.60382666218589,6.32962335605731,6.66186646243814,6.92391524544002,7.21168747832723,6.80338131965404,9.50960476910224,7.87162887230811,6.76103010654371,7.2415174203055,7.81029439249742,8.80725120961426,7.48818078644809,6.88174796910614,7.17914611268351,6.8691122138407,6.94850255397679,7.16331174502905,6.96929470973386,7.28951023055424,7.03970237652934,7.66036520137263,8.58787505770316,8.01435186608458,6.49285620657013,8.68298476945269,6.94320879295328,9.24283289322091,7.141910738063,6.89639952253244,7.14930894693436
"1556366_s_at",7.41630628258446,6.74557363781169,5.74038186073811,6.0216215964739,7.77521269283134,7.44343972587706,6.58473030046728,6.41704513031276,6.45632827365376,6.39908815424248,6.99283715689444,7.47369867557493,6.92675053554617,7.18858011209849,6.03225778372811,7.54175762355255,7.10187813476909,7.64690553815305,6.33032712338859,7.8032304592684,7.38826528812801,5.4906031797035,5.84268820432433,6.44040927516366,5.43228149608868,5.70817810782038,7.01451766940093,5.06904363470933,4.47733203548646,4.40459201441421,4.31986841320991,4.42750923875943,4.43494125341803,4.49129785034121,4.47959630154283,4.5006589565429,4.4229771439709,4.26759477241729,4.42167128575679,4.45257692946891,4.68435794116708,5.45008214023499,4.3619667641332,4.28078781270764,4.43247250573126,4.33787849192744,4.32688703609149,4.56346325309822,4.56429371299459,6.19368652982658,4.38434880330337,4.43875056672516,4.51537856356667,4.31286338200939,4.78150308292929,4.38693118530038,4.38521763668243,4.35219283679598,4.2550796770372,4.67634920938569,4.36849987607093,5.01719119201617,4.5275684212505,4.46877310147605,4.4403870438893,4.27401995034876,4.33709362507554,4.48174834207412,4.26339729355915,4.4627807368417,6.3985784136008,4.3758529543999,4.23073439932623,4.15834725742544,4.20286599406581,4.97802341559125,4.68619823266442,4.3923787902369,4.40401119237532,4.19763531454271,4.54819796358295,4.14226805209173,4.5509464448632,4.44106334216534,4.36727340060608,4.47733203548646,5.57573170541387,4.33349789523758,4.39493570410318,4.46956630577553,4.35579302089814,6.62561880293379,4.16418999285673,4.33516481173096,4.41965734444407
"237509_at",7.99150130709481,8.21758036377823,7.48446245589704,7.64739720103896,8.52750059701245,8.71211887682214,8.47380592630884,7.51831895727648,8.1950866064136,8.32908502590098,8.81374289495699,8.80398380871702,8.58773624558058,8.9134386581135,7.5312831207761,8.388364474104,8.94340465508706,8.69337027522195,7.52557892132917,8.91372208325998,7.92362795997697,7.73053339867236,8.07187016534567,8.00276030209496,7.30410694598938,8.14786993507237,7.90085880367869,6.37906568795449,5.55220631163432,5.47822842297678,5.49183631946137,5.52904502006771,5.46527151659756,5.97450223230487,6.15127297349659,5.81425941426857,5.8811543607354,5.41780256364266,5.79564888799764,5.4876434976198,5.58467590029007,7.58550732961385,5.3665470176792,5.54937711205375,5.87629684687407,5.34943087258317,5.35868015669791,5.82560513396785,5.84555745522668,7.17837146640976,5.73066818636272,5.81164717126561,5.61376929279664,5.51517343661419,6.1540891493106,5.59439976569671,5.38763780198957,5.36171721189566,5.53094651961009,7.06457021078269,5.3873365894399,6.26972480837961,6.89433692709532,5.4212081253344,5.79984311588835,5.63064645325509,5.54471370621912,5.49124615091558,5.86995810781108,5.62657336145712,8.34734703843657,5.80581563453805,5.30385172390133,5.9301909779953,5.43606782651252,7.35176776727565,5.64773848775584,5.68186943887506,5.97457491174392,5.39973069049477,5.66316703225727,5.532041324666,5.71341172018201,5.72004496739071,5.38484579319068,5.64352092735767,7.26982627657201,5.95438049679882,5.39401665810383,5.75827660268848,5.39931447417224,7.64645627794388,5.29370583907366,5.41511207707881,5.85377502913301
"1557107_at",7.61545711895377,7.58695759398485,7.58486106261726,7.70308994200547,7.08670192851369,7.94743665668362,8.19844603366609,7.38752249809294,8.09867346725417,7.22163580338679,8.32585901533676,7.94575713018632,7.88746721562545,7.50467254958204,6.808647712128,7.92099444293599,7.99343213723825,8.09791932212653,7.15890702651768,8.53060389846239,6.83998330157593,7.48135154585429,7.05114069089278,7.82366728004908,7.31235259958006,7.3529500237081,7.54146818647462,6.5302341887959,5.19527035608936,4.89334712439335,5.13806827151606,5.11984624470564,4.5175652877648,5.38527006183392,5.92023532489713,5.03485124540189,5.21331601095271,4.66924554292646,4.96479938202024,5.20085136278738,5.52933414608867,7.16784807880293,4.62972852190922,4.91954966695174,5.52176577433319,5.09100711024507,4.8200780457437,5.08262435684935,5.05435803390918,7.33109040911829,5.05444692810728,5.1360810896986,5.08184920837782,5.05907477456223,5.96076694257758,4.53813125367053,4.69333603066222,4.4787897378552,4.71511474626284,6.27500958832516,4.47323196989179,6.06802982660615,5.38104850808547,5.01323706048583,5.14895882885215,4.77100314353261,5.30315382693287,5.00595160268633,4.78262537357545,5.09522722580503,7.78492226266369,5.15993360101985,4.8750829221761,5.16868147154755,4.73294122945614,7.25836876150171,5.21888086931989,5.25611395478383,5.33403792406355,4.7027503610219,5.12237955543232,5.10077891479837,5.45362132687849,5.13930360953641,4.67651753739073,5.25654164334038,6.31110686173491,5.07405277340781,5.10794806682359,5.13572882388522,5.06954429500446,7.38473500543788,4.72020298938437,4.53453975265475,5.19742910518583
"230765_at",7.9993516699702,7.90372924928648,7.79358629246331,7.87716589750613,8.41399751107786,8.77608145432046,7.48281951916125,7.31218397156492,7.8905969058199,7.96502959960972,8.58229541687538,8.44686719643424,8.53290880221211,8.50289433585678,7.46484919191474,8.85305253711752,8.08949683299327,8.86894944313261,9.3614989836613,9.26032852393205,7.8823780692047,7.88611830936398,8.07634257275589,7.73315646388021,7.39837683983397,6.99861885853532,8.6015678018608,6.43258593112633,4.78755703122065,4.83225486378572,4.76204323614151,4.7134939435837,4.95279128026322,5.1082292764713,5.00049627182785,4.97742787987212,4.81044224193311,4.65949207051514,5.18589661909066,4.87376914849697,5.44551669724594,7.38826990922527,4.76059115567223,4.81059657898648,5.11570442224525,4.71244318697433,4.76341152776985,4.9328090013714,5.18969302087271,7.37770834325492,4.92666971118482,5.10680047871474,4.82692039159407,4.62025241602008,5.75547677586728,4.67825805112727,4.58756178576487,7.57374616582941,4.66378832308407,6.07157460501655,4.66085993054205,5.5913397753978,5.562267504961,5.00050005103696,4.87269561820482,7.33083307059468,4.87488165832403,4.80427236572608,4.90370131534113,5.81358153668282,8.04050541700805,5.09451782602858,4.67329429989793,4.6808094727093,4.69974776716751,7.19146589636916,4.79308150213072,4.86103621146043,5.17018984378079,4.97395834138886,4.94280279743373,4.67031636608473,5.19832635912416,4.86901989653164,4.90391342556685,4.87303855460005,6.04084418757961,5.02538204289595,4.6669116418168,5.02289804463715,4.82546515436677,8.13573372297229,4.76407910868198,4.72787309631475,4.79790037918267
"220030_at",8.33839424944885,7.98331719186545,7.09920871108934,7.10910776498586,6.77685307703475,7.92656556115551,7.538673430726,6.1321102851627,6.27332295145549,7.73616259496677,8.17721662804274,7.72366549138054,8.11448487138402,8.33062458813617,6.7383436502168,7.90442862341702,8.23062001458015,8.63358737995435,7.68202600477795,8.01967240945362,6.24825169408186,7.09755485254963,6.86245162529847,7.38822633573161,6.44632938840443,6.96010356157888,7.41434202979717,5.56604694688362,4.85719206785436,4.87692434450992,4.70179493078535,4.66201854105644,4.63967601004812,4.83531503170807,5.04187880276752,4.81075291377469,4.72086085545582,4.50926082452911,5.01089072838073,4.71079350459394,5.90304761218419,6.40316234246145,4.76053470944903,4.68638480682423,4.77406105930005,4.67399110814333,4.613096843191,4.82762646901725,4.90385980244638,6.9818850739799,4.66336085165113,5.15159845029532,4.81594041341092,4.67398815771373,4.98625452434272,4.69104871105979,4.51902839879304,4.62004721383376,4.60520512772935,5.75809101454483,4.74297750376703,6.09769508086396,5.38873622198567,4.65878503147543,4.96093635399302,4.60133740974987,4.90412067165567,4.4740181342613,4.76449086091593,4.77012101780416,7.20285831079602,4.71135867693372,4.52681677910052,4.59632894883041,4.63000185637666,6.72558231904598,4.7262373979171,4.67441864643996,4.8426071696561,4.51823131037086,4.82390752020708,4.49020836211862,4.91292945357618,4.84149789897853,4.4856439183533,4.96710039449992,5.70546416114311,4.62265404337503,4.62970285340772,4.60435766815547,4.73642453668217,7.24959911943847,4.49174628192411,4.53697223991277,5.13748957748981
"241672_at",8.09344631057234,7.94064540210717,7.74580987854627,7.62101328111206,8.82960901956494,8.66698622477115,7.86736186447843,7.79353117012548,7.93221513025265,8.50201317172913,9.2767927058789,8.36829722917538,8.51872849908417,8.68168692050451,7.50620940016016,8.80582630616591,8.3719927001642,9.07130415661767,8.24807614059286,9.21012681992137,7.97424691489797,7.95234394020675,7.623452341448,7.8713019610028,7.60062962428322,8.33576814780266,7.68729609025557,6.63073125306886,5.27208608349595,5.15702159947193,5.26071016838853,4.94432132728396,4.69455661765551,5.0585579380449,7.65078055324292,5.40931886636398,5.07695623675186,4.97383187680612,5.35696517364058,5.20385125612256,6.07293479957735,7.26016283058234,4.88038727980073,5.11181408388771,5.34064777059117,5.22950799498416,5.19382616272336,5.17162450374315,5.41113276365618,7.86808088715833,5.19242593087977,5.13583901490904,5.14134720941088,4.87923576853455,6.29311244314589,5.07381116443792,4.79612115966763,4.91546762589218,4.98585513080278,5.88065490079939,4.79003551105701,5.87256911869403,5.04920242546826,5.14856833959477,4.85492945601543,5.16180147761687,4.99407158113769,5.03429972112591,5.02994464845861,7.49162949607538,8.15285919632472,5.1645313758174,5.08557346849692,5.15126416724011,4.99393557268455,7.84409295081795,5.23001997740061,5.29869535930226,5.36347390082086,4.97405937855211,5.10900840984797,5.21485919017577,5.35374662048102,5.25150688019187,5.11732096323305,5.34985473409429,6.07083726703829,5.27038233535801,5.17158799198902,5.34072825903727,4.91790080645988,8.00141228267979,4.88089676235981,5.194550738694,4.99295907131064
"206456_at",10.2832837309272,10.9570566888101,9.44100104049454,9.69253085387677,10.9160861671956,11.0133318166101,10.131759204644,10.5254442622354,10.9140633951903,11.0621613076717,11.2826688927985,11.2155345610396,11.3900853702509,11.548140810327,10.1051820333318,10.8079256809682,11.2554263431166,11.063485063954,10.722360361035,11.4826718451885,10.5216582704482,10.7181777423419,10.75127062155,10.5161335580763,10.5790308528706,10.6049538257472,10.9737988209075,9.91246471455943,5.34561814196759,5.04933950504747,5.67393154901647,6.15693693261672,4.99421647844171,7.04114817283036,9.23319084257441,6.23094633262989,5.68719888532113,5.07436365106022,7.3577140103881,6.37385861280819,7.17167829033295,9.41750492016393,5.94133743449188,5.21927922242812,6.99848296267099,5.78212799752975,5.317042390253,7.39692761505648,6.74089108876872,9.95673122918769,6.1881028596142,6.21635529878886,6.12434680136447,5.19823525390732,8.31716627296668,5.18418941959001,4.94700311480973,5.16219341148756,5.52636749561456,9.19572828188551,5.37650849233393,7.41630628258446,5.70957322598578,5.96152798147651,5.18012874738795,5.38944764762892,5.27369731790849,5.05091900697124,5.14298195350223,6.51731045400632,10.4411911979307,6.67712524763053,5.07486070878942,4.91921082407775,5.19103086420693,9.49398819853782,6.07912271168165,5.09236245513685,5.96093157733004,4.84238216673124,5.23807268163302,5.0560223255421,6.46556686254227,5.3481528099464,4.98280926778435,7.37506731950339,9.12935267065732,5.09861697612659,6.28088360363333,6.34372001408403,5.07874258471914,10.6043424144114,5.05804220225991,5.31808183647307,6.62268336393703
"219461_at",9.66945837621908,9.44342259921562,8.9441701821487,9.15599618651706,9.7678469649092,10.0702442867076,9.94865591108956,9.81258935455375,9.86098981661329,9.36724417867968,10.2720831183443,10.4327472192503,10.0614407921618,10.0705204497918,9.26388380361366,9.75444100570716,9.88165654475682,10.0743352920323,9.84614229100915,9.95850933615658,9.51208480156673,9.4079915304858,9.55459381078744,10.0944165866483,9.23293976881835,9.56668011541078,10.1085810420748,8.39785743436299,6.76388455939818,6.62304689381685,6.96772523285938,7.14968773926614,6.89201986909883,7.74410960765465,8.13415522362633,7.20072609148557,6.65785950002551,6.38126143776976,7.23418759391498,6.96230614185654,8.25978185023219,9.01865645689955,6.90812696243771,6.65313456644649,7.55257197958195,6.66708624763951,6.69745142939126,6.90473035230816,6.99550189315689,10.1632569851384,7.0601215503256,6.67088484340239,7.39699379833487,6.54063458972759,8.08692045601175,6.74329173361344,6.45493566097506,7.03039096363045,6.93223620038728,8.14289635480628,6.74579139160657,7.87621122019539,7.20760418727403,6.9896731632982,6.721132227242,6.66415291046207,6.64653381764605,6.88834566638871,7.04183073804088,7.3127707092556,9.51993964196273,7.42408420973052,6.89870342763705,6.60756349493637,7.92660544186026,8.33542908991779,7.85613091816927,6.66967900929684,6.95605453033291,6.75370118656362,6.54299961888254,6.49238212973324,6.84708025738799,7.31176969997938,6.86204561200397,7.26893418578133,8.59669577457774,7.79296857969511,6.55304064466134,7.22165885237797,7.38851269067944,9.76042875389663,6.76734147040268,6.45601575305005,6.97243113185455
