"export-plot data (NetLogo 6.3.0)"
"SPARC-factor.nlogo"
"12/06/2022 22:27:49:914 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","840","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","72","4","true","1","0","93","true"
"2","94","4","true","2","23","93","true"
"3","110","4","true","3","65","93","true"
"4","108","4","true","4","129","93","true"
"5","126","4","true","5","203","93","true"
"6","120","4","true","6","294","93","true"
"7","134","4","true","7","402","93","true"
"8","124","4","true","8","491","93","true"
"9","144","4","true","9","587","93","true"
"10","129","4","true","10","684","93","true"
"11","136","4","true","11","729","93","true"
"12","151","4","true","12","764","93","true"
"13","142","4","true","13","733","93","true"
"14","143","4","true","14","737","93","true"
"15","140","4","true","15","771","93","true"
"16","151","4","true","16","760","93","true"
"17","130","4","true","17","800","93","true"
"18","125","4","true","18","780","93","true"
"19","119","4","true","19","749","93","true"
"20","126","4","true","20","726","93","true"
"21","123","4","true","21","694","93","true"
"22","119","4","true","22","708","93","true"
"23","121","4","true","23","679","93","true"
"24","112","4","true","24","669","93","true"
"25","120","4","true","25","636","93","true"
"26","111","4","true","26","607","93","true"
"27","117","4","true","27","556","93","true"
"28","115","4","true","28","498","93","true"
"29","104","4","true","29","461","93","true"
"30","98","4","true","30","455","93","true"
"31","105","4","true","31","464","93","true"
"32","109","4","true","32","496","93","true"
"33","113","4","true","33","583","93","true"
"34","115","4","true","34","639","93","true"
"35","114","4","true","35","669","93","true"
"36","106","4","true","36","683","93","true"
"37","110","4","true","37","669","93","true"
"38","109","4","true","38","663","93","true"
"39","122","4","true","39","627","93","true"
"40","111","4","true","40","626","93","true"
"41","112","4","true","41","568","93","true"
"42","115","4","true","42","574","93","true"
"43","120","4","true","43","502","93","true"
"44","114","4","true","44","517","93","true"
"45","106","4","true","45","525","93","true"
"46","111","4","true","46","532","93","true"
"47","108","4","true","47","546","93","true"
"48","99","4","true","48","559","93","true"
"49","101","4","true","49","576","93","true"
"50","98","4","true","50","576","93","true"
"51","96","4","true","51","520","93","true"
"52","98","4","true","52","483","93","true"
"53","107","4","true","53","516","93","true"
"54","103","4","true","54","514","93","true"
"55","102","4","true","55","490","93","true"
"56","100","4","true","56","471","93","true"
"57","93","4","true","57","479","93","true"
"58","93","4","true","58","472","93","true"
"59","95","4","true","59","482","93","true"
"60","90","4","true","60","481","93","true"
"61","86","4","true","61","471","93","true"
"62","84","4","true","62","511","93","true"
"63","81","4","true","63","573","93","true"
"64","86","4","true","64","593","93","true"
"65","101","4","true","65","628","93","true"
"66","105","4","true","66","613","93","true"
"67","107","4","true","67","565","93","true"
"68","104","4","true","68","539","93","true"
"69","110","4","true","69","487","93","true"
"70","108","4","true","70","488","93","true"
"71","93","4","true","71","465","93","true"
"72","98","4","true","72","479","93","true"
"73","101","4","true","73","471","93","true"
"74","94","4","true","74","472","93","true"
"75","92","4","true","75","506","93","true"
"76","78","4","true","76","499","93","true"
"77","82","4","true","77","523","93","true"
"78","76","4","true","78","510","93","true"
"79","78","4","true","79","505","93","true"
"80","71","4","true","80","512","93","true"
"81","75","4","true","81","486","93","true"
"82","83","4","true","82","516","93","true"
"83","74","4","true","83","543","93","true"
"84","81","4","true","84","545","93","true"
"85","75","4","true","85","568","93","true"
"86","68","4","true","86","550","93","true"
"87","76","4","true","87","531","93","true"
"88","66","4","true","88","522","93","true"
"89","68","4","true","89","514","93","true"
"90","64","4","true","90","484","93","true"
"91","60","4","true","91","499","93","true"
"92","58","4","true","92","501","93","true"
"93","63","4","true","93","507","93","true"
"94","53","4","true","94","473","93","true"
"95","47","4","true","95","439","93","true"
"96","54","4","true","96","415","93","true"
"97","60","4","true","97","392","93","true"
"98","50","4","true","98","349","93","true"
"99","43","4","true","99","333","93","true"
"100","52","4","true","100","290","93","true"
