"export-plot data (NetLogo 6.3.0)"
"TGFBI-factor.nlogo"
"12/06/2022 23:14:42:558 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","803","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","68","4","true","1","0","93","true"
"2","85","4","true","2","18","93","true"
"3","90","4","true","3","63","93","true"
"4","93","4","true","4","122","93","true"
"5","96","4","true","5","206","93","true"
"6","114","4","true","6","323","93","true"
"7","110","4","true","7","461","93","true"
"8","117","4","true","8","568","93","true"
"9","117","4","true","9","655","93","true"
"10","131","4","true","10","730","93","true"
"11","118","4","true","11","755","93","true"
"12","126","4","true","12","754","93","true"
"13","118","4","true","13","746","93","true"
"14","116","4","true","14","743","93","true"
"15","112","4","true","15","730","93","true"
"16","108","4","true","16","727","93","true"
"17","97","4","true","17","712","93","true"
"18","97","4","true","18","640","93","true"
"19","91","4","true","19","611","93","true"
"20","86","4","true","20","584","93","true"
"21","71","4","true","21","547","93","true"
"22","76","4","true","22","525","93","true"
"23","86","4","true","23","498","93","true"
"24","80","4","true","24","486","93","true"
"25","73","4","true","25","465","93","true"
"26","64","4","true","26","436","93","true"
"27","61","4","true","27","403","93","true"
"28","58","4","true","28","358","93","true"
"29","61","4","true","29","334","93","true"
"30","62","4","true","30","304","93","true"
"31","55","4","true","31","287","93","true"
"32","63","4","true","32","283","93","true"
"33","64","4","true","33","277","93","true"
"34","68","4","true","34","278","93","true"
"35","71","4","true","35","273","93","true"
"36","65","4","true","36","259","93","true"
"37","62","4","true","37","254","93","true"
"38","57","4","true","38","236","93","true"
"39","55","4","true","39","235","93","true"
"40","52","4","true","40","235","93","true"
"41","57","4","true","41","229","93","true"
"42","55","4","true","42","244","93","true"
"43","61","4","true","43","255","93","true"
"44","57","4","true","44","257","93","true"
"45","53","4","true","45","265","93","true"
"46","50","4","true","46","269","93","true"
"47","53","4","true","47","271","93","true"
"48","50","4","true","48","268","93","true"
"49","49","4","true","49","259","93","true"
"50","47","4","true","50","246","93","true"
"51","48","4","true","51","230","93","true"
"52","49","4","true","52","223","93","true"
"53","48","4","true","53","229","93","true"
"54","52","4","true","54","238","93","true"
"55","53","4","true","55","250","93","true"
"56","49","4","true","56","256","93","true"
"57","43","4","true","57","247","93","true"
"58","47","4","true","58","252","93","true"
"59","46","4","true","59","248","93","true"
"60","44","4","true","60","246","93","true"
"61","45","4","true","61","236","93","true"
"62","42","4","true","62","236","93","true"
"63","47","4","true","63","245","93","true"
"64","45","4","true","64","262","93","true"
"65","47","4","true","65","263","93","true"
"66","45","4","true","66","279","93","true"
"67","43","4","true","67","285","93","true"
"68","40","4","true","68","279","93","true"
"69","42","4","true","69","278","93","true"
"70","39","4","true","70","286","93","true"
"71","39","4","true","71","263","93","true"
"72","37","4","true","72","265","93","true"
"73","44","4","true","73","275","93","true"
"74","40","4","true","74","285","93","true"
"75","40","4","true","75","275","93","true"
"76","42","4","true","76","283","93","true"
"77","40","4","true","77","273","93","true"
"78","37","4","true","78","262","93","true"
"79","33","4","true","79","255","93","true"
"80","40","4","true","80","243","93","true"
"81","34","4","true","81","234","93","true"
"82","35","4","true","82","236","93","true"
"83","35","4","true","83","236","93","true"
"84","35","4","true","84","243","93","true"
"85","37","4","true","85","246","93","true"
"86","37","4","true","86","242","93","true"
"87","34","4","true","87","252","93","true"
"88","37","4","true","88","258","93","true"
"89","33","4","true","89","253","93","true"
"90","32","4","true","90","244","93","true"
"91","32","4","true","91","243","93","true"
"92","34","4","true","92","245","93","true"
"93","35","4","true","93","256","93","true"
"94","39","4","true","94","267","93","true"
"95","34","4","true","95","282","93","true"
