"export-plot data (NetLogo 6.3.0)"
"oxygenated-environment.nlogo"
"12/06/2022 21:36:15:286 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","263","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","49","4","true","1","0","93","true"
"2","49","4","true","2","0","93","true"
"3","47","4","true","3","0","93","true"
"4","48","4","true","4","0","93","true"
"5","50","4","true","5","1","93","true"
"6","54","4","true","6","3","93","true"
"7","55","4","true","7","10","93","true"
"8","57","4","true","8","16","93","true"
"9","56","4","true","9","23","93","true"
"10","49","4","true","10","28","93","true"
"11","52","4","true","11","32","93","true"
"12","54","4","true","12","35","93","true"
"13","55","4","true","13","41","93","true"
"14","56","4","true","14","54","93","true"
"15","60","4","true","15","62","93","true"
"16","55","4","true","16","67","93","true"
"17","57","4","true","17","71","93","true"
"18","55","4","true","18","78","93","true"
"19","56","4","true","19","79","93","true"
"20","58","4","true","20","95","93","true"
"21","59","4","true","21","103","93","true"
"22","61","4","true","22","114","93","true"
"23","66","4","true","23","119","93","true"
"24","62","4","true","24","125","93","true"
"25","64","4","true","25","135","93","true"
"26","57","4","true","26","142","93","true"
"27","60","4","true","27","154","93","true"
"28","60","4","true","28","158","93","true"
"29","61","4","true","29","165","93","true"
"30","55","4","true","30","169","93","true"
"31","55","4","true","31","166","93","true"
"32","61","4","true","32","164","93","true"
"33","51","4","true","33","175","93","true"
"34","52","4","true","34","184","93","true"
"35","49","4","true","35","185","93","true"
"36","51","4","true","36","183","93","true"
"37","48","4","true","37","184","93","true"
"38","47","4","true","38","177","93","true"
"39","49","4","true","39","178","93","true"
"40","49","4","true","40","185","93","true"
"41","46","4","true","41","195","93","true"
"42","46","4","true","42","196","93","true"
"43","51","4","true","43","198","93","true"
"44","50","4","true","44","201","93","true"
"45","45","4","true","45","210","93","true"
"46","47","4","true","46","207","93","true"
"47","49","4","true","47","210","93","true"
"48","48","4","true","48","206","93","true"
"49","46","4","true","49","210","93","true"
"50","45","4","true","50","213","93","true"
"51","42","4","true","51","211","93","true"
"52","42","4","true","52","216","93","true"
"53","34","4","true","53","222","93","true"
"54","34","4","true","54","231","93","true"
"55","32","4","true","55","231","93","true"
"56","35","4","true","56","224","93","true"
