"export-plot data (NetLogo 6.3.0)"
"SPARC-factor.nlogo"
"12/06/2022 22:30:31:132 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","891","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","72","4","true","1","0","93","true"
"2","100","4","true","2","25","93","true"
"3","110","4","true","3","81","93","true"
"4","115","4","true","4","143","93","true"
"5","132","4","true","5","207","93","true"
"6","144","4","true","6","302","93","true"
"7","160","4","true","7","425","93","true"
"8","173","4","true","8","511","93","true"
"9","173","4","true","9","623","93","true"
"10","163","4","true","10","664","93","true"
"11","153","4","true","11","721","93","true"
"12","168","4","true","12","738","93","true"
"13","145","4","true","13","788","93","true"
"14","158","4","true","14","743","93","true"
"15","148","4","true","15","791","93","true"
"16","144","4","true","16","775","93","true"
"17","142","4","true","17","782","93","true"
"18","141","4","true","18","780","93","true"
"19","142","4","true","19","790","93","true"
"20","136","4","true","20","810","93","true"
"21","140","4","true","21","758","93","true"
"22","136","4","true","22","794","93","true"
"23","126","4","true","23","760","93","true"
"24","124","4","true","24","707","93","true"
"25","128","4","true","25","682","93","true"
"26","129","4","true","26","643","93","true"
"27","129","4","true","27","598","93","true"
"28","130","4","true","28","543","93","true"
"29","131","4","true","29","524","93","true"
"30","131","4","true","30","503","93","true"
"31","130","4","true","31","499","93","true"
"32","135","4","true","32","504","93","true"
"33","126","4","true","33","538","93","true"
"34","134","4","true","34","559","93","true"
"35","145","4","true","35","570","93","true"
"36","148","4","true","36","585","93","true"
"37","132","4","true","37","614","93","true"
"38","131","4","true","38","628","93","true"
"39","122","4","true","39","600","93","true"
"40","115","4","true","40","556","93","true"
"41","116","4","true","41","547","93","true"
"42","122","4","true","42","540","93","true"
"43","116","4","true","43","552","93","true"
"44","113","4","true","44","547","93","true"
"45","127","4","true","45","515","93","true"
"46","122","4","true","46","586","93","true"
"47","121","4","true","47","577","93","true"
"48","114","4","true","48","593","93","true"
"49","112","4","true","49","590","93","true"
"50","102","4","true","50","581","93","true"
"51","108","4","true","51","569","93","true"
"52","113","4","true","52","550","93","true"
"53","116","4","true","53","567","93","true"
"54","104","4","true","54","551","93","true"
"55","102","4","true","55","552","93","true"
"56","107","4","true","56","539","93","true"
