"export-plot data (NetLogo 6.3.0)"
"TGFBI-factor.nlogo"
"12/06/2022 23:14:34:796 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","923","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","71","4","true","1","0","93","true"
"2","86","4","true","2","18","93","true"
"3","107","4","true","3","59","93","true"
"4","106","4","true","4","123","93","true"
"5","121","4","true","5","209","93","true"
"6","121","4","true","6","340","93","true"
"7","124","4","true","7","474","93","true"
"8","130","4","true","8","601","93","true"
"9","138","4","true","9","718","93","true"
"10","146","4","true","10","787","93","true"
"11","130","4","true","11","839","93","true"
"12","121","4","true","12","843","93","true"
"13","113","4","true","13","816","93","true"
"14","119","4","true","14","760","93","true"
"15","122","4","true","15","703","93","true"
"16","104","4","true","16","695","93","true"
"17","97","4","true","17","640","93","true"
"18","91","4","true","18","602","93","true"
"19","86","4","true","19","577","93","true"
"20","83","4","true","20","527","93","true"
"21","85","4","true","21","522","93","true"
"22","91","4","true","22","511","93","true"
"23","90","4","true","23","505","93","true"
"24","83","4","true","24","495","93","true"
"25","82","4","true","25","463","93","true"
"26","74","4","true","26","434","93","true"
"27","69","4","true","27","392","93","true"
"28","68","4","true","28","371","93","true"
"29","67","4","true","29","332","93","true"
"30","58","4","true","30","317","93","true"
"31","59","4","true","31","302","93","true"
"32","63","4","true","32","296","93","true"
"33","69","4","true","33","298","93","true"
"34","64","4","true","34","318","93","true"
"35","63","4","true","35","325","93","true"
"36","58","4","true","36","328","93","true"
"37","55","4","true","37","330","93","true"
"38","55","4","true","38","300","93","true"
"39","57","4","true","39","284","93","true"
"40","56","4","true","40","273","93","true"
"41","54","4","true","41","250","93","true"
"42","54","4","true","42","262","93","true"
"43","56","4","true","43","270","93","true"
"44","52","4","true","44","279","93","true"
"45","52","4","true","45","277","93","true"
"46","52","4","true","46","276","93","true"
"47","51","4","true","47","267","93","true"
"48","53","4","true","48","248","93","true"
"49","51","4","true","49","240","93","true"
"50","51","4","true","50","231","93","true"
"51","49","4","true","51","218","93","true"
"52","52","4","true","52","219","93","true"
"53","54","4","true","53","216","93","true"
"54","54","4","true","54","224","93","true"
"55","50","4","true","55","227","93","true"
"56","52","4","true","56","235","93","true"
"57","46","4","true","57","232","93","true"
"58","45","4","true","58","238","93","true"
"59","46","4","true","59","234","93","true"
"60","41","4","true","60","233","93","true"
"61","39","4","true","61","232","93","true"
"62","47","4","true","62","230","93","true"
"63","46","4","true","63","238","93","true"
"64","43","4","true","64","253","93","true"
"65","43","4","true","65","267","93","true"
"66","48","4","true","66","274","93","true"
"67","43","4","true","67","277","93","true"
"68","45","4","true","68","268","93","true"
"69","43","4","true","69","259","93","true"
"70","40","4","true","70","258","93","true"
"71","39","4","true","71","243","93","true"
"72","39","4","true","72","253","93","true"
"73","39","4","true","73","252","93","true"
"74","36","4","true","74","258","93","true"
"75","41","4","true","75","262","93","true"
"76","32","4","true","76","270","93","true"
"77","30","4","true","77","263","93","true"
"78","27","4","true","78","263","93","true"
"79","25","4","true","79","260","93","true"
"80","24","4","true","80","263","93","true"
"81","26","4","true","81","255","93","true"
"82","29","4","true","82","249","93","true"
"83","28","4","true","83","256","93","true"
"84","34","4","true","84","267","93","true"
"85","30","4","true","85","292","93","true"
"86","30","4","true","86","300","93","true"
"87","33","4","true","87","280","93","true"
"88","29","4","true","88","286","93","true"
