"export-plot data (NetLogo 6.3.0)"
"oxygenated-environment.nlogo"
"12/06/2022 21:37:49:153 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","253","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","49","4","true","1","0","93","true"
"2","48","4","true","2","0","93","true"
"3","47","4","true","3","0","93","true"
"4","47","4","true","4","0","93","true"
"5","49","4","true","5","1","93","true"
"6","53","4","true","6","5","93","true"
"7","56","4","true","7","11","93","true"
"8","56","4","true","8","19","93","true"
"9","52","4","true","9","25","93","true"
"10","49","4","true","10","29","93","true"
"11","50","4","true","11","34","93","true"
"12","54","4","true","12","35","93","true"
"13","60","4","true","13","41","93","true"
"14","54","4","true","14","55","93","true"
"15","54","4","true","15","57","93","true"
"16","55","4","true","16","61","93","true"
"17","54","4","true","17","67","93","true"
"18","52","4","true","18","72","93","true"
"19","50","4","true","19","83","93","true"
"20","50","4","true","20","86","93","true"
"21","51","4","true","21","102","93","true"
"22","51","4","true","22","107","93","true"
"23","51","4","true","23","116","93","true"
"24","52","4","true","24","127","93","true"
"25","48","4","true","25","137","93","true"
"26","50","4","true","26","135","93","true"
"27","49","4","true","27","146","93","true"
"28","46","4","true","28","165","93","true"
"29","49","4","true","29","175","93","true"
"30","44","4","true","30","181","93","true"
"31","45","4","true","31","179","93","true"
"32","44","4","true","32","183","93","true"
"33","46","4","true","33","190","93","true"
"34","47","4","true","34","194","93","true"
"35","47","4","true","35","192","93","true"
"36","46","4","true","36","200","93","true"
"37","47","4","true","37","198","93","true"
"38","48","4","true","38","191","93","true"
"39","44","4","true","39","195","93","true"
"40","43","4","true","40","204","93","true"
"41","41","4","true","41","197","93","true"
"42","40","4","true","42","201","93","true"
"43","41","4","true","43","200","93","true"
"44","37","4","true","44","208","93","true"
"45","35","4","true","45","199","93","true"
"46","34","4","true","46","195","93","true"
"47","35","4","true","47","197","93","true"
"48","34","4","true","48","198","93","true"
"49","37","4","true","49","203","93","true"
"50","28","4","true","50","201","93","true"
"51","26","4","true","51","199","93","true"
"52","27","4","true","52","190","93","true"
"53","26","4","true","53","198","93","true"
"54","29","4","true","54","198","93","true"
"55","28","4","true","55","202","93","true"
"56","26","4","true","56","212","93","true"
"57","27","4","true","57","210","93","true"
"58","23","4","true","58","216","93","true"
"59","25","4","true","59","218","93","true"
"60","25","4","true","60","220","93","true"
"61","24","4","true","61","210","93","true"
"62","22","4","true","62","210","93","true"
"63","22","4","true","63","213","93","true"
"64","20","4","true","64","212","93","true"
"65","22","4","true","65","202","93","true"
"66","20","4","true","66","195","93","true"
"67","18","4","true","67","192","93","true"
"68","17","4","true","68","176","93","true"
"69","19","4","true","69","176","93","true"
"70","21","4","true","70","179","93","true"
"71","20","4","true","71","180","93","true"
"72","20","4","true","72","176","93","true"
"73","22","4","true","73","175","93","true"
"74","22","4","true","74","175","93","true"
"75","21","4","true","75","175","93","true"
"76","19","4","true","76","169","93","true"
"77","20","4","true","77","171","93","true"
"78","19","4","true","78","169","93","true"
"79","17","4","true","79","165","93","true"
"80","18","4","true","80","159","93","true"
"81","18","4","true","81","158","93","true"
"82","18","4","true","82","173","93","true"
"83","17","4","true","83","169","93","true"
"84","19","4","true","84","174","93","true"
"85","18","4","true","85","180","93","true"
"86","18","4","true","86","181","93","true"
"87","18","4","true","87","187","93","true"
"88","18","4","true","88","183","93","true"
"89","18","4","true","89","194","93","true"
"90","19","4","true","90","200","93","true"
"91","17","4","true","91","216","93","true"
"92","21","4","true","92","215","93","true"
"93","17","4","true","93","218","93","true"
"94","16","4","true","94","213","93","true"
"95","16","4","true","95","209","93","true"
"96","19","4","true","96","200","93","true"
"97","17","4","true","97","194","93","true"
"98","15","4","true","98","184","93","true"
"99","14","4","true","99","182","93","true"
"100","17","4","true","100","173","93","true"
"101","17","4","true","101","172","93","true"
"102","16","4","true","102","171","93","true"
"103","16","4","true","103","162","93","true"
"104","14","4","true","104","154","93","true"
"105","15","4","true","105","158","93","true"
"106","16","4","true","106","154","93","true"
"107","15","4","true","107","155","93","true"
"108","16","4","true","108","152","93","true"
"109","16","4","true","109","158","93","true"
"110","15","4","true","110","162","93","true"
"111","15","4","true","111","158","93","true"
"112","15","4","true","112","160","93","true"
"113","15","4","true","113","172","93","true"
"114","15","4","true","114","179","93","true"
"115","16","4","true","115","181","93","true"
"116","16","4","true","116","175","93","true"
"117","18","4","true","117","176","93","true"
"118","14","4","true","118","181","93","true"
"119","15","4","true","119","174","93","true"
"120","13","4","true","120","179","93","true"
"121","15","4","true","121","171","93","true"
"122","15","4","true","122","177","93","true"
"123","15","4","true","123","185","93","true"
"124","16","4","true","124","188","93","true"
"125","18","4","true","125","188","93","true"
"126","16","4","true","126","193","93","true"
"127","15","4","true","127","188","93","true"
"128","15","4","true","128","190","93","true"
"129","18","4","true","129","181","93","true"
"130","17","4","true","130","187","93","true"
"131","18","4","true","131","188","93","true"
"132","17","4","true","132","198","93","true"
"133","19","4","true","133","197","93","true"
"134","19","4","true","134","204","93","true"
"135","16","4","true","135","203","93","true"
"136","15","4","true","136","197","93","true"
"137","15","4","true","137","201","93","true"
"138","16","4","true","138","200","93","true"
"139","15","4","true","139","197","93","true"
"140","19","4","true","140","187","93","true"
"141","20","4","true","141","178","93","true"
"142","16","4","true","142","180","93","true"
"143","17","4","true","143","179","93","true"
"144","15","4","true","144","186","93","true"
"145","16","4","true","145","183","93","true"
"146","17","4","true","146","182","93","true"
"147","18","4","true","147","186","93","true"
"148","20","4","true","148","182","93","true"
"149","19","4","true","149","186","93","true"
"150","21","4","true","150","187","93","true"
"151","17","4","true","151","187","93","true"
"152","18","4","true","152","182","93","true"
"153","14","4","true","153","178","93","true"
"154","16","4","true","154","169","93","true"
"155","17","4","true","155","163","93","true"
"156","14","4","true","156","158","93","true"
"157","12","4","true","157","157","93","true"
"158","11","4","true","158","145","93","true"
"159","11","4","true","159","135","93","true"
"160","12","4","true","160","133","93","true"
"161","13","4","true","161","135","93","true"
"162","13","4","true","162","123","93","true"
"163","13","4","true","163","123","93","true"
"164","14","4","true","164","119","93","true"
"165","13","4","true","165","120","93","true"
"166","14","4","true","166","119","93","true"
"167","15","4","true","167","124","93","true"
"168","13","4","true","168","119","93","true"
"169","13","4","true","169","120","93","true"
"170","15","4","true","170","122","93","true"
"171","14","4","true","171","123","93","true"
"172","13","4","true","172","115","93","true"
"173","12","4","true","173","116","93","true"
"174","15","4","true","174","117","93","true"
"175","14","4","true","175","115","93","true"
"176","16","4","true","176","118","93","true"
"177","14","4","true","177","116","93","true"
"178","15","4","true","178","117","93","true"
"179","16","4","true","179","121","93","true"
"180","14","4","true","180","111","93","true"
"181","17","4","true","181","108","93","true"
"182","17","4","true","182","104","93","true"
"183","15","4","true","183","108","93","true"
"184","17","4","true","184","114","93","true"
"185","19","4","true","185","122","93","true"
"186","20","4","true","186","128","93","true"
"187","18","4","true","187","135","93","true"
"188","17","4","true","188","132","93","true"
"189","18","4","true","189","130","93","true"
"190","16","4","true","190","132","93","true"
"191","16","4","true","191","147","93","true"
"192","17","4","true","192","156","93","true"
"193","16","4","true","193","159","93","true"
"194","15","4","true","194","161","93","true"
"195","14","4","true","195","159","93","true"
"196","15","4","true","196","157","93","true"
"197","18","4","true","197","163","93","true"
"198","15","4","true","198","167","93","true"
"199","15","4","true","199","170","93","true"
"200","15","4","true","200","182","93","true"
"201","14","4","true","201","184","93","true"
"202","13","4","true","202","188","93","true"
"203","14","4","true","203","186","93","true"
"204","14","4","true","204","188","93","true"
"205","16","4","true","205","191","93","true"
"206","14","4","true","206","200","93","true"
"207","14","4","true","207","204","93","true"
"208","12","4","true","208","208","93","true"
"209","13","4","true","209","209","93","true"
"210","11","4","true","210","212","93","true"
"211","12","4","true","211","221","93","true"
"212","13","4","true","212","224","93","true"
"213","11","4","true","213","230","93","true"
"214","13","4","true","214","236","93","true"
"215","13","4","true","215","231","93","true"
"216","12","4","true","216","214","93","true"
"217","11","4","true","217","208","93","true"
"218","12","4","true","218","202","93","true"
"219","15","4","true","219","195","93","true"
"220","14","4","true","220","197","93","true"
"221","13","4","true","221","192","93","true"
"222","13","4","true","222","190","93","true"
"223","13","4","true","223","185","93","true"
"224","12","4","true","224","184","93","true"
"225","17","4","true","225","179","93","true"
"226","13","4","true","226","178","93","true"
"227","13","4","true","227","174","93","true"
"228","15","4","true","228","168","93","true"
"229","13","4","true","229","164","93","true"
"230","15","4","true","230","172","93","true"
"231","15","4","true","231","156","93","true"
"232","15","4","true","232","169","93","true"
"233","13","4","true","233","152","93","true"
"234","11","4","true","234","158","93","true"
"235","10","4","true","235","166","93","true"
"236","12","4","true","236","162","93","true"
"237","10","4","true","237","173","93","true"
"238","11","4","true","238","166","93","true"
"239","9","4","true","239","171","93","true"
"240","8","4","true","240","164","93","true"
"241","9","4","true","241","160","93","true"
"242","7","4","true","242","162","93","true"
"243","9","4","true","243","160","93","true"
"244","8","4","true","244","158","93","true"
"245","10","4","true","245","171","93","true"
"246","9","4","true","246","175","93","true"
"247","9","4","true","247","184","93","true"
"248","9","4","true","248","191","93","true"
"249","9","4","true","249","192","93","true"
"250","7","4","true","250","191","93","true"
"251","9","4","true","251","194","93","true"
"252","10","4","true","252","216","93","true"
"253","10","4","true","253","214","93","true"
"254","9","4","true","254","212","93","true"
"255","8","4","true","255","211","93","true"
"256","8","4","true","256","212","93","true"
"257","9","4","true","257","218","93","true"
"258","10","4","true","258","219","93","true"
"259","12","4","true","259","208","93","true"
"260","9","4","true","260","205","93","true"
"261","9","4","true","261","201","93","true"
"262","10","4","true","262","205","93","true"
"263","7","4","true","263","189","93","true"
"264","10","4","true","264","189","93","true"
"265","9","4","true","265","187","93","true"
"266","8","4","true","266","178","93","true"
"267","8","4","true","267","156","93","true"
"268","8","4","true","268","146","93","true"
"269","10","4","true","269","142","93","true"
"270","10","4","true","270","145","93","true"
"271","12","4","true","271","139","93","true"
"272","11","4","true","272","146","93","true"
"273","9","4","true","273","143","93","true"
"274","10","4","true","274","136","93","true"
"275","11","4","true","275","130","93","true"
"276","11","4","true","276","133","93","true"
"277","11","4","true","277","128","93","true"
"278","12","4","true","278","129","93","true"
"279","14","4","true","279","126","93","true"
"280","15","4","true","280","120","93","true"
"281","12","4","true","281","115","93","true"
"282","12","4","true","282","113","93","true"
"283","11","4","true","283","106","93","true"
"284","12","4","true","284","104","93","true"
"285","11","4","true","285","102","93","true"
"286","10","4","true","286","96","93","true"
"287","10","4","true","287","95","93","true"
"288","13","4","true","288","88","93","true"
"289","13","4","true","289","86","93","true"
"290","13","4","true","290","90","93","true"
"291","14","4","true","291","91","93","true"
"292","13","4","true","292","92","93","true"
"293","12","4","true","293","98","93","true"
"294","15","4","true","294","99","93","true"
"295","16","4","true","295","97","93","true"
"296","15","4","true","296","100","93","true"
"297","14","4","true","297","102","93","true"
"298","15","4","true","298","104","93","true"
"299","15","4","true","299","103","93","true"
"300","14","4","true","300","103","93","true"
"301","14","4","true","301","105","93","true"
"302","16","4","true","302","106","93","true"
"303","15","4","true","303","114","93","true"
"304","19","4","true","304","112","93","true"
"305","15","4","true","305","113","93","true"
"306","16","4","true","306","114","93","true"
"307","18","4","true","307","117","93","true"
"308","17","4","true","308","118","93","true"
"309","16","4","true","309","124","93","true"
"310","17","4","true","310","125","93","true"
"311","19","4","true","311","124","93","true"
"312","17","4","true","312","121","93","true"
"313","17","4","true","313","124","93","true"
"314","21","4","true","314","121","93","true"
"315","17","4","true","315","134","93","true"
"316","19","4","true","316","139","93","true"
"317","20","4","true","317","137","93","true"
"318","19","4","true","318","134","93","true"
"319","21","4","true","319","135","93","true"
"320","19","4","true","320","138","93","true"
"321","17","4","true","321","149","93","true"
"322","18","4","true","322","154","93","true"
"323","20","4","true","323","165","93","true"
"324","20","4","true","324","164","93","true"
"325","23","4","true","325","159","93","true"
"326","22","4","true","326","160","93","true"
"327","25","4","true","327","156","93","true"
"328","23","4","true","328","146","93","true"
"329","24","4","true","329","141","93","true"
"330","20","4","true","330","143","93","true"
"331","19","4","true","331","143","93","true"
"332","18","4","true","332","140","93","true"
"333","18","4","true","333","143","93","true"
"334","17","4","true","334","150","93","true"
"335","21","4","true","335","160","93","true"
"336","17","4","true","336","167","93","true"
"337","17","4","true","337","163","93","true"
"338","16","4","true","338","153","93","true"
"339","17","4","true","339","143","93","true"
"340","17","4","true","340","139","93","true"
