"export-plot data (NetLogo 6.3.0)"
"SPARC-factor.nlogo"
"12/06/2022 22:25:51:861 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","849","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","79","4","true","1","0","93","true"
"2","89","4","true","2","32","93","true"
"3","101","4","true","3","75","93","true"
"4","106","4","true","4","150","93","true"
"5","99","4","true","5","219","93","true"
"6","119","4","true","6","311","93","true"
"7","107","4","true","7","421","93","true"
"8","116","4","true","8","533","93","true"
"9","120","4","true","9","621","93","true"
"10","123","4","true","10","696","93","true"
"11","121","4","true","11","750","93","true"
"12","103","4","true","12","772","93","true"
"13","118","4","true","13","782","93","true"
"14","118","4","true","14","769","93","true"
"15","112","4","true","15","788","93","true"
"16","106","4","true","16","722","93","true"
"17","107","4","true","17","724","93","true"
"18","114","4","true","18","715","93","true"
"19","121","4","true","19","655","93","true"
"20","122","4","true","20","657","93","true"
"21","108","4","true","21","615","93","true"
"22","120","4","true","22","604","93","true"
"23","120","4","true","23","577","93","true"
"24","116","4","true","24","560","93","true"
"25","114","4","true","25","577","93","true"
"26","121","4","true","26","541","93","true"
"27","119","4","true","27","523","93","true"
"28","113","4","true","28","469","93","true"
"29","113","4","true","29","434","93","true"
"30","104","4","true","30","476","93","true"
"31","116","4","true","31","471","93","true"
"32","116","4","true","32","512","93","true"
"33","123","4","true","33","519","93","true"
"34","131","4","true","34","503","93","true"
"35","134","4","true","35","521","93","true"
"36","127","4","true","36","517","93","true"
"37","133","4","true","37","522","93","true"
"38","120","4","true","38","556","93","true"
"39","110","4","true","39","549","93","true"
"40","105","4","true","40","531","93","true"
"41","105","4","true","41","501","93","true"
"42","104","4","true","42","480","93","true"
"43","111","4","true","43","477","93","true"
"44","110","4","true","44","475","93","true"
"45","109","4","true","45","477","93","true"
"46","96","4","true","46","464","93","true"
"47","94","4","true","47","454","93","true"
"48","96","4","true","48","448","93","true"
"49","89","4","true","49","461","93","true"
"50","94","4","true","50","471","93","true"
"51","87","4","true","51","493","93","true"
"52","92","4","true","52","527","93","true"
"53","105","4","true","53","552","93","true"
"54","105","4","true","54","584","93","true"
"55","110","4","true","55","572","93","true"
"56","115","4","true","56","529","93","true"
"57","118","4","true","57","505","93","true"
"58","122","4","true","58","548","93","true"
"59","117","4","true","59","516","93","true"
"60","117","4","true","60","491","93","true"
"61","117","4","true","61","525","93","true"
"62","120","4","true","62","484","93","true"
"63","129","4","true","63","427","93","true"
"64","122","4","true","64","424","93","true"
"65","132","4","true","65","395","93","true"
"66","131","4","true","66","436","93","true"
"67","135","4","true","67","451","93","true"
"68","123","4","true","68","461","93","true"
"69","112","4","true","69","499","93","true"
"70","126","4","true","70","471","93","true"
"71","117","4","true","71","478","93","true"
"72","111","4","true","72","481","93","true"
"73","115","4","true","73","523","93","true"
"74","118","4","true","74","504","93","true"
"75","119","4","true","75","517","93","true"
