"export-plot data (NetLogo 6.3.0)"
"TGFBI-factor.nlogo"
"12/06/2022 23:16:31:133 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","832","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","65","4","true","1","0","93","true"
"2","80","4","true","2","21","93","true"
"3","88","4","true","3","67","93","true"
"4","89","4","true","4","127","93","true"
"5","99","4","true","5","204","93","true"
"6","103","4","true","6","325","93","true"
"7","114","4","true","7","451","93","true"
"8","120","4","true","8","574","93","true"
"9","135","4","true","9","674","93","true"
"10","128","4","true","10","737","93","true"
"11","130","4","true","11","756","93","true"
"12","130","4","true","12","738","93","true"
"13","134","4","true","13","757","93","true"
"14","134","4","true","14","746","93","true"
"15","108","4","true","15","703","93","true"
"16","99","4","true","16","730","93","true"
"17","98","4","true","17","684","93","true"
"18","92","4","true","18","644","93","true"
"19","93","4","true","19","623","93","true"
"20","91","4","true","20","603","93","true"
"21","80","4","true","21","557","93","true"
"22","86","4","true","22","550","93","true"
"23","84","4","true","23","545","93","true"
"24","81","4","true","24","546","93","true"
"25","69","4","true","25","540","93","true"
"26","67","4","true","26","485","93","true"
"27","60","4","true","27","461","93","true"
"28","59","4","true","28","422","93","true"
"29","58","4","true","29","386","93","true"
"30","57","4","true","30","363","93","true"
"31","55","4","true","31","344","93","true"
"32","58","4","true","32","332","93","true"
"33","61","4","true","33","329","93","true"
"34","60","4","true","34","312","93","true"
"35","56","4","true","35","303","93","true"
"36","56","4","true","36","286","93","true"
"37","56","4","true","37","271","93","true"
"38","54","4","true","38","264","93","true"
"39","52","4","true","39","253","93","true"
"40","48","4","true","40","236","93","true"
"41","48","4","true","41","228","93","true"
"42","51","4","true","42","244","93","true"
"43","50","4","true","43","242","93","true"
"44","50","4","true","44","245","93","true"
"45","48","4","true","45","250","93","true"
"46","45","4","true","46","245","93","true"
"47","42","4","true","47","238","93","true"
"48","38","4","true","48","230","93","true"
"49","40","4","true","49","227","93","true"
"50","44","4","true","50","226","93","true"
"51","38","4","true","51","232","93","true"
"52","42","4","true","52","226","93","true"
"53","52","4","true","53","233","93","true"
"54","49","4","true","54","220","93","true"
"55","53","4","true","55","229","93","true"
"56","50","4","true","56","233","93","true"
"57","48","4","true","57","238","93","true"
"58","49","4","true","58","238","93","true"
"59","46","4","true","59","241","93","true"
"60","45","4","true","60","235","93","true"
"61","42","4","true","61","232","93","true"
"62","42","4","true","62","238","93","true"
"63","51","4","true","63","255","93","true"
"64","50","4","true","64","258","93","true"
"65","46","4","true","65","247","93","true"
"66","42","4","true","66","246","93","true"
"67","43","4","true","67","240","93","true"
"68","43","4","true","68","239","93","true"
"69","41","4","true","69","231","93","true"
"70","35","4","true","70","228","93","true"
"71","35","4","true","71","220","93","true"
"72","35","4","true","72","219","93","true"
"73","39","4","true","73","228","93","true"
"74","40","4","true","74","235","93","true"
