"export-plot data (NetLogo 6.3.0)"
"oxygenated-environment.nlogo"
"12/06/2022 21:41:02:348 -0500"

"MODEL SETTINGS"
"starting-population","max-oxygen-tank"
"50","1000"

"""Number of Cells vs. Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","309","true","""stem cells""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""stem cells""","true","0","1","4","1501"
"""non-stem cells""","true","0","1","93","1501"

"""stem cells""",,,,"""non-stem cells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","4","true","0","0","93","true"
"1","48","4","true","1","0","93","true"
"2","47","4","true","2","0","93","true"
"3","46","4","true","3","0","93","true"
"4","47","4","true","4","0","93","true"
"5","50","4","true","5","2","93","true"
"6","57","4","true","6","4","93","true"
"7","53","4","true","7","13","93","true"
"8","51","4","true","8","21","93","true"
"9","47","4","true","9","26","93","true"
"10","50","4","true","10","29","93","true"
"11","49","4","true","11","34","93","true"
"12","50","4","true","12","39","93","true"
"13","57","4","true","13","48","93","true"
"14","51","4","true","14","61","93","true"
"15","50","4","true","15","67","93","true"
"16","51","4","true","16","68","93","true"
"17","53","4","true","17","72","93","true"
"18","52","4","true","18","78","93","true"
"19","52","4","true","19","87","93","true"
"20","53","4","true","20","98","93","true"
"21","48","4","true","21","104","93","true"
"22","48","4","true","22","109","93","true"
"23","50","4","true","23","113","93","true"
"24","50","4","true","24","126","93","true"
"25","47","4","true","25","131","93","true"
"26","45","4","true","26","136","93","true"
"27","50","4","true","27","138","93","true"
"28","44","4","true","28","144","93","true"
"29","47","4","true","29","152","93","true"
"30","51","4","true","30","161","93","true"
"31","45","4","true","31","166","93","true"
"32","47","4","true","32","164","93","true"
"33","44","4","true","33","173","93","true"
"34","44","4","true","34","183","93","true"
"35","46","4","true","35","185","93","true"
"36","45","4","true","36","191","93","true"
"37","44","4","true","37","193","93","true"
"38","45","4","true","38","191","93","true"
"39","41","4","true","39","189","93","true"
"40","38","4","true","40","191","93","true"
"41","33","4","true","41","188","93","true"
"42","37","4","true","42","199","93","true"
"43","39","4","true","43","202","93","true"
"44","38","4","true","44","210","93","true"
"45","34","4","true","45","206","93","true"
"46","35","4","true","46","206","93","true"
"47","33","4","true","47","212","93","true"
"48","36","4","true","48","213","93","true"
"49","37","4","true","49","212","93","true"
"50","32","4","true","50","202","93","true"
"51","32","4","true","51","211","93","true"
"52","32","4","true","52","218","93","true"
"53","31","4","true","53","222","93","true"
"54","32","4","true","54","229","93","true"
"55","36","4","true","55","227","93","true"
"56","37","4","true","56","234","93","true"
"57","33","4","true","57","232","93","true"
"58","29","4","true","58","232","93","true"
"59","27","4","true","59","226","93","true"
"60","31","4","true","60","222","93","true"
"61","29","4","true","61","215","93","true"
"62","29","4","true","62","224","93","true"
"63","25","4","true","63","227","93","true"
"64","26","4","true","64","227","93","true"
"65","27","4","true","65","223","93","true"
"66","27","4","true","66","232","93","true"
